CCS,Molecular_Weight,LogP,H_Donors,H_Acceptors,Rotatable_Bonds,SMILES,TPSA
186.9,484.14000000000004,-2.088599999999999,7.0,13.0,8.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,264.62999999999994
178.7,404.161,-2.2056,6.0,11.0,6.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,218.09999999999997
172.9,404.161,-2.2056,6.0,11.0,6.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,218.09999999999997
176.5,404.161,-2.2056,6.0,11.0,6.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,218.09999999999997
185.9,446.24600000000015,-2.1033299999999966,7.0,13.0,9.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OCCN)[C@@H](O)[C@H]2O)c(O)n1,239.89999999999998
188.1,446.24600000000015,-2.1033299999999966,7.0,13.0,9.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OCCN)[C@@H](O)[C@H]2O)c(O)n1,239.89999999999998
210.4,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
205.9,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
198.5,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
208.1,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
176.3,403.177,-2.08633,7.0,11.0,6.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,224.87999999999994
174.2,403.177,-2.08633,7.0,11.0,6.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,224.87999999999994
175.6,403.177,-2.08633,7.0,11.0,6.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,224.87999999999994
